Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-14 04:00:00-04:00,201.82,201.91,201.82,201.86,0,0.0,0.0
2025-08-14 04:01:00-04:00,201.81,201.9,201.81,201.9,0,0.0,0.0
2025-08-14 04:02:00-04:00,201.85,201.88,201.83,201.88,0,0.0,0.0
2025-08-14 04:03:00-04:00,201.85,201.85,201.85,201.85,0,0.0,0.0
2025-08-14 04:04:00-04:00,201.84,201.87,201.84,201.87,0,0.0,0.0
2025-08-14 04:05:00-04:00,201.87,201.89,201.83,201.85,0,0.0,0.0
2025-08-14 04:06:00-04:00,201.84,201.89,201.84,201.89,0,0.0,0.0
2025-08-14 04:07:00-04:00,201.83,201.83,201.81,201.82,0,0.0,0.0
2025-08-14 04:08:00-04:00,201.86,201.86,201.82,201.82,0,0.0,0.0
2025-08-14 04:09:00-04:00,201.82,201.95,201.81,201.95,0,0.0,0.0
2025-08-14 04:10:00-04:00,201.9,201.9,201.88,201.88,0,0.0,0.0
2025-08-14 04:12:00-04:00,201.9,201.9,201.87,201.87,0,0.0,0.0
2025-08-14 04:13:00-04:00,201.83,201.92,201.81,201.92,0,0.0,0.0
2025-08-14 04:16:00-04:00,201.94,201.94,201.94,201.94,0,0.0,0.0
2025-08-14 04:17:00-04:00,201.94,201.94,201.93,201.93,0,0.0,0.0
2025-08-14 04:18:00-04:00,201.91,201.96,201.91,201.96,0,0.0,0.0
2025-08-14 04:19:00-04:00,201.96,201.96,201.95,201.95,0,0.0,0.0
2025-08-14 04:20:00-04:00,201.96,201.96,201.93,201.93,0,0.0,0.0
2025-08-14 04:21:00-04:00,201.95,201.95,201.95,201.95,0,0.0,0.0
2025-08-14 04:24:00-04:00,201.99,201.99,201.96,201.96,0,0.0,0.0
2025-08-14 04:26:00-04:00,201.96,201.96,201.96,201.96,0,0.0,0.0
2025-08-14 04:27:00-04:00,202.0,202.0,202.0,202.0,0,0.0,0.0
2025-08-14 04:28:00-04:00,202.0,202.0,202.0,202.0,0,0.0,0.0
2025-08-14 04:29:00-04:00,202.08,202.09,202.08,202.09,0,0.0,0.0
2025-08-14 04:30:00-04:00,202.09,202.09,202.09,202.09,0,0.0,0.0
2025-08-14 04:32:00-04:00,202.07,202.07,202.06,202.06,0,0.0,0.0
2025-08-14 04:33:00-04:00,202.12,202.12,202.09,202.09,0,0.0,0.0
2025-08-14 04:34:00-04:00,202.04,202.1,202.04,202.1,0,0.0,0.0
2025-08-14 04:35:00-04:00,202.09,202.09,202.02,202.02,0,0.0,0.0
2025-08-14 04:36:00-04:00,202.01,202.01,202.01,202.01,0,0.0,0.0
2025-08-14 04:37:00-04:00,202.03,202.03,202.02,202.02,0,0.0,0.0
2025-08-14 04:39:00-04:00,202.02,202.07,202.02,202.05,0,0.0,0.0
2025-08-14 04:40:00-04:00,202.02,202.05,202.01,202.05,0,0.0,0.0
2025-08-14 04:42:00-04:00,202.08,202.08,202.04,202.04,0,0.0,0.0
2025-08-14 04:43:00-04:00,202.05,202.05,202.05,202.05,0,0.0,0.0
2025-08-14 04:44:00-04:00,202.04,202.04,202.04,202.04,0,0.0,0.0
2025-08-14 04:46:00-04:00,202.05,202.05,202.05,202.05,0,0.0,0.0
2025-08-14 04:48:00-04:00,202.04,202.04,202.04,202.04,0,0.0,0.0
2025-08-14 04:49:00-04:00,202.06,202.08,202.02,202.02,0,0.0,0.0
2025-08-14 04:50:00-04:00,202.09,202.09,202.09,202.09,0,0.0,0.0
2025-08-14 04:51:00-04:00,202.1,202.1,202.1,202.1,0,0.0,0.0
2025-08-14 04:59:00-04:00,202.03,202.03,202.02,202.02,0,0.0,0.0
