Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-14 04:00:00-04:00,233.05,233.05,232.88,232.88,0,0.0,0.0
2025-08-14 04:01:00-04:00,232.92,233.01,232.92,233.01,0,0.0,0.0
2025-08-14 04:02:00-04:00,232.92,232.97,232.87,232.87,0,0.0,0.0
2025-08-14 04:03:00-04:00,232.91,233.01,232.91,232.94,0,0.0,0.0
2025-08-14 04:04:00-04:00,232.92,233.05,232.92,232.99,0,0.0,0.0
2025-08-14 04:05:00-04:00,233.02,233.14,233.02,233.14,0,0.0,0.0
2025-08-14 04:06:00-04:00,233.14,233.2,233.07,233.14,0,0.0,0.0
2025-08-14 04:07:00-04:00,233.1,233.1,233.06,233.06,0,0.0,0.0
2025-08-14 04:08:00-04:00,233.07,233.1,233.07,233.09,0,0.0,0.0
2025-08-14 04:09:00-04:00,233.03,233.08,233.0,233.07,0,0.0,0.0
2025-08-14 04:10:00-04:00,233.0,233.0,232.92,232.96,0,0.0,0.0
2025-08-14 04:11:00-04:00,232.96,233.03,232.96,233.03,0,0.0,0.0
2025-08-14 04:12:00-04:00,233.02,233.02,232.94,232.94,0,0.0,0.0
2025-08-14 04:13:00-04:00,232.92,232.94,232.88,232.88,0,0.0,0.0
2025-08-14 04:14:00-04:00,232.88,232.88,232.88,232.88,0,0.0,0.0
2025-08-14 04:15:00-04:00,232.87,232.87,232.87,232.87,0,0.0,0.0
2025-08-14 04:16:00-04:00,232.89,232.9,232.88,232.88,0,0.0,0.0
2025-08-14 04:17:00-04:00,232.89,232.89,232.89,232.89,0,0.0,0.0
2025-08-14 04:18:00-04:00,232.9,232.97,232.9,232.97,0,0.0,0.0
2025-08-14 04:19:00-04:00,233.02,233.03,233.02,233.03,0,0.0,0.0
2025-08-14 04:20:00-04:00,232.96,232.96,232.96,232.96,0,0.0,0.0
2025-08-14 04:23:00-04:00,233.05,233.07,233.05,233.07,0,0.0,0.0
2025-08-14 04:24:00-04:00,233.06,233.08,233.06,233.08,0,0.0,0.0
2025-08-14 04:25:00-04:00,233.01,233.01,233.0,233.0,0,0.0,0.0
